date,version,commit,branch,build_type,artifact_paths,status,operator,change_summary,notes
2026-04-13,1.2.2,cacfa022,master,release:publish,release/portable/Curated-1.2.2-windows-x64.zip; release/installer/Curated-Setup-1.2.2.exe; release/manifest/release.json,成功,wujiahui,历史记录补齐前未采集,versionSource=auto-patch; BuildStamp=20260412.180713; portable=versionSource=explicit; installer=versionSource=explicit
2026-04-14,1.2.3,89131f08,master,release:publish,release/portable/Curated-1.2.3-windows-x64.zip; release/installer/Curated-Setup-1.2.3.exe; release/manifest/release.json,成功,wujiahui,历史记录补齐前未采集,versionSource=auto-patch; BuildStamp=20260413.162833; portable=versionSource=explicit; installer=versionSource=explicit
2026-04-16,1.2.4,7a7b2981,master,release:publish,release/portable/Curated-1.2.4-windows-x64.zip; release/installer/Curated-Setup-1.2.4.exe; release/manifest/release.json,成功,wujiahui,历史记录补齐前未采集,versionSource=auto-patch; BuildStamp=20260415.165606; portable=versionSource=explicit; installer=versionSource=explicit
2026-04-17,1.2.5,4319daf7,master,release:publish,release/portable/Curated-1.2.5-windows-x64.zip; release/installer/Curated-Setup-1.2.5.exe; release/manifest/release.json,成功,wujiahui,"4319daf7 docs(plan): home and detail sidebar optimization follow-up
063793dd feat(frontend): home scroll preserve, sidebar layout, expandable text
51e59511 docs(plan): curated frame menu and home detail sidebar notes
0f8d371f feat(frontend): context menu for curated frames library
c58003e9 chore(installer): remove AppMutex from Inno Setup template
696916fc docs: package ledger change column and packaging strategy
b877ad1a feat(scripts): auto-fill package history change column
06898596 docs: homepage daily recommendations API and plans
b2b2f092 chore(release): bump package version to 1.2.4 and record publish
f4e71dc2 feat(frontend): homepage daily picks, portal, and player shortcuts
b71b1775 feat(backend): persist homepage daily recommendations",versionSource=auto-patch; BuildStamp=20260416.164557; portable=versionSource=explicit; installer=versionSource=explicit
2026-04-17,1.2.6,4319daf7,master,release:publish,release/portable/Curated-1.2.6-windows-x64.zip; release/installer/Curated-Setup-1.2.6.exe; release/manifest/release.json,成功,wujiahui,无代码差异（同一提交重复打包）,versionSource=auto-patch; BuildStamp=20260416.165419; portable=versionSource=explicit; installer=versionSource=explicit
2026-04-19,1.2.7,185c6a33,master,release:publish,release/portable/Curated-1.2.7-windows-x64.zip; release/installer/Curated-Setup-1.2.7.exe; release/manifest/release.json,成功,wujiahui,"185c6a33 docs: homepage recommendation freshness plans and facts
951661d5 feat(backend): ladder exclusions for homepage daily picks
064d3047 docs(plan): player seek time sync bugfix notes
6684d120 fix(frontend): sync player seek UI with playback clock
d11eda1a docs: Python release CLI, CSV history, and packaging skill
f6873df8 feat(scripts): replace PowerShell release pipeline with Python CLI
1e3e7acd chore(release): bump package version to 1.2.6 and record publish
796d8c1f fix(backend): dedupe Windows tray cancel and inject syscall seams",versionSource=auto-patch; BuildStamp=20260419.111519; portable=versionSource=explicit; installer=versionSource=explicit
2026-04-20,1.2.8,e82542f0,master,release:publish,release/portable/Curated-1.2.8-windows-x64.zip; release/installer/Curated-Setup-1.2.8.exe; release/manifest/release.json,成功,wujiahui,"e82542f0 docs: app update PRD, API, release notes, and packaging version 1.2.7
488fef75 feat(frontend): app update check settings and sidebar badge
932f0c2e feat(backend): app update manifest fetch and status persistence",versionSource=auto-patch; BuildStamp=20260419.165433; portable=versionSource=explicit; installer=versionSource=explicit
2026-04-26,1.3.1,26273e1f,master,release:publish,release/portable/Curated-1.3.1-windows-x64.zip; release/installer/Curated-Setup-1.3.1.exe; release/manifest/release.json,成功,wujiahui,"26273e1f docs: sync API, README, CLAUDE, and project-facts with new behavior
d9ec3d04 feat(frontend): export format, homepage skeleton, immersive player, settings and library UX
c0207e31 feat(backend): curated frame JPG export, library path reveal, playback and scan wiring
0460be57 docs: add plans for export, player chrome, homepage skeleton, and backend review
e14f3bda chore: ignore local .superpowers directory
06ab3c21 docs: reorganize docs into reference, product, ops, and review
a00beb97 docs(rules): enforce diff-based atomic commits
6d98ce10 repo: remove film-scanner snapshot and repo-local Go cache paths
f6f53115 docs(plan): repository structure improvement (EN + zh-CN)
81734b87 docs(plan): actor profile card scroll design and implementation
9332ed62 fix(frontend): actor profile card scroll and 29px add buttons
60cb4f17 docs: actor external links API and profile card scroll plan
a6be9f3b feat(frontend): actor profile external links UI
dcc4c2ca feat(backend): actor external links storage and API
e94f169b chore(release): bump to 1.2.8 and extend package ledger
19d3a065 feat(frontend): batch tag suggestions and actor detail external links
52faca31 docs: PRD CSV samples, actor link plans, and prd-csv skill
7018b0d1 feat(scripts): PRD requirements CSV linter",versionSource=explicit; BuildStamp=20260425.193341; portable=versionSource=explicit; installer=versionSource=explicit
2026-04-27,1.3.2,3b372674,master,release:publish,release/portable/Curated-1.3.2-windows-x64.zip; release/installer/Curated-Setup-1.3.2.exe; release/manifest/release.json,成功,wujiahui,"3b372674 Revert ""build(frontend): sync packaged assets""
e133bba2 build(frontend): sync packaged assets
30223411 fix(backend): smooth HLS startup buffering
3a6d93c6 fix(sidebar): separate navigation sections
786a539c fix(player): enlarge slider hit area
7082177f feat(player): add playback settings menu
af4885f9 docs: align packaged app version baseline to 1.3.1
1a09dab9 chore(release): bump to 1.3.1, extend package ledger, add release notes
8a11090c chore: ignore repo-local .cache directory",versionSource=auto-patch; BuildStamp=20260426.163342; portable=versionSource=explicit; installer=versionSource=explicit
2026-04-27,1.3.2,c09ed800,master,release:publish,release/portable/Curated-1.3.2-windows-x64.zip; release/installer/Curated-Setup-1.3.2.exe; release/manifest/release.json,成功,wujiahui,"c09ed800 fix(release): bundle ffmpeg runtime in packages
5f9ee393 chore(release): prepare 1.3.2 package",versionSource=explicit; BuildStamp=20260426.172610; portable=versionSource=explicit; installer=versionSource=explicit
2026-04-28,1.3.3,3a7b298a,master,release:publish,release/portable/Curated-1.3.3-windows-x64.zip; release/installer/Curated-Setup-1.3.3.exe; release/manifest/release.json,成功,wujiahui,"3a7b298a feat: add weighted homepage recommendation state
8526cc4f docs(rules): preserve release artifacts
e9c27d08 chore(release): refresh 1.3.2 package with ffmpeg",versionSource=auto-patch; BuildStamp=20260427.171351; portable=versionSource=explicit; installer=versionSource=explicit
2026-04-29,1.3.4,02989270,master,release:publish,release/portable/Curated-1.3.4-windows-x64.zip; release/installer/Curated-Setup-1.3.4.exe; release/manifest/release.json,成功,wujiahui,"02989270 chore(dev): expose vite server on local network
d02e2754 fix(player): simplify native player control
50f0732c docs(ui): require consent for display smoke tests
fae9d79c docs(plan): pause multidevice scaling rollout
796c2198 test(ui): add display scaling smoke tests
3786658b fix: add shutdown barrier for in-flight scrape goroutines
3814a81a fix: make scanner filepath.Walk respect context cancellation
462cbc7a fix: extract hardcoded health probe keyword to named constant
f6bd0ca8 fix: replace fragile string-match error classification with sentinel
f6104e89 fix: prevent filesystem path leak in reveal error messages
84beabe7 fix: simplify atomic config write retry logic
457f2b16 perf(backend): optimize homepage recommendation candidate selection
aaed79a9 fix(backend): harden request body limits and fix data-correctness edge cases
e11161db docs(ui): add display scaling checklist
9ab3b9e3 fix(frontend): keep native player optional behind services
45b04287 chore(dev): add Curated dev start skill
1b932bd0 chore(release): prepare 1.3.3 package",versionSource=auto-patch; BuildStamp=20260428.180530; portable=versionSource=explicit; installer=versionSource=explicit
2026-05-02,1.4.1,dca2e846,feature/settings-watch-time-heatmap,release:publish,release/portable/Curated-1.4.1-windows-x64.zip; release/installer/Curated-Setup-1.4.1.exe; release/manifest/release.json,成功,wujiahui,"dca2e846 docs(plan): add May feature planning notes
b17ae9f9 feat: add movie import and watch time insights
36e04b0e fix(release): align packaging preview history path
b83e5d69 test: normalize render hint source line endings
37c1f71e merge: frontend optimization 20260501
76027dbc perf: improve library first-load caching
5c61862d feat(frontend): add active playback sidebar return
4bcd4313 docs: plan active playback sidebar return
d47282b0 perf(frontend): smooth detail image loading
8cbc80f7 refactor(frontend): extract curated frame empty states
1799bdfe refactor(frontend): extract curated frame delete dialog
dd51ad89 refactor(frontend): extract curated frame toolbar
fb78ade6 refactor(frontend): extract curated frame tag filter
bec5b071 refactor(frontend): extract curated frame timeline tab
58618767 refactor(frontend): extract curated frame movies tab
7566f22d refactor(frontend): extract curated frame actors tab
7fbf0e16 refactor(frontend): extract curated frame grid
1443ab77 refactor(frontend): extract curated frame card
ab392fb1 refactor(frontend): extract curated actor selection reconciliation
331cd716 refactor(frontend): extract curated frame selection reducer
92a0752c refactor(frontend): extract player stats reducers
e376631c refactor(frontend): extract player timeline helpers
b15ec8a9 refactor(frontend): extract player stats format helpers
8b9e9341 refactor(frontend): extract settings metadata section
6653de93 refactor(frontend): extract settings library paths section
ba59c4d0 refactor(frontend): extract settings library path list
aea39603 refactor(frontend): extract settings library path toolbar
31d58d0e refactor(frontend): extract settings library path add dialog
66ba0edc refactor(frontend): extract settings library path remove dialog
e568a33f refactor(frontend): extract settings metadata trigger scrape
2b0dadee refactor(frontend): extract settings metadata provider chain
46fc8175 refactor(frontend): extract settings metadata provider select
40ea74d7 refactor(frontend): extract settings metadata mode
0b56b294 refactor(frontend): extract settings metadata automation
396a1620 refactor(frontend): extract settings network section
e9ff809d refactor(frontend): extract settings curated section
2928d28f refactor(frontend): extract settings organize section
4a8e191e refactor(frontend): extract settings general section
9f5c3dec refactor(frontend): extract settings overview section
def44dad refactor(frontend): extract settings about section
6aa9c8f5 refactor(frontend): extract settings maintenance section
d00660cb perf(frontend): debounce homepage portal updates
2b081ea5 fix(frontend): align mock service error shapes
46386c06 refactor(frontend): route library components through service
0f5e767c docs(backend): add godoc comments to all packages
e881b616 feat(api): validate critical response shapes
98e8eea8 test(frontend): cover remaining playback and curated edges
ccf1f548 test(detail): cover detail and history flows
b9aa597d test(player): cover playback target selection
a5c61641 fix(mock-library): align detail lookup behavior
eadbe885 test(player): cover route boundaries
9b9a61b8 test(web-library): cover settings recovery
d393fa59 test(web-library): cover cache short circuits
f57c49a1 test(web-library): cover trash mutations
1d5a2f17 fix(i18n): localize player stats labels
62d86411 fix(i18n): localize preview viewer labels
005a7e2f fix(i18n): localize expandable text defaults
89074b82 fix(i18n): localize rating labels
e6ce72c9 fix(i18n): localize scan progress dock
6d9f0e9a fix(i18n): localize directory picker hints
9154598b test(web-library): cover patch detail paths
93b87382 fix(i18n): localize player view states
f62247ca test(update): cover app update composable
0445f68d test(health): cover backend health composable
7ef75b85 test(player): cover player view states
cdd9cbb9 perf(frontend): use shallow refs for large state
735d9edb test(web-library): cover mutation and reload paths
8bf6b27a test(web-library): cover loading cache paths
6134d2a3 fix(library): surface frontend operation failures
aff6586e fix(app): add root error boundary
b952d7a5 docs(frontend): add optimization review plan
2ba463e5 chore(lint): ignore local workspace dirs
59d12c70 fix(i18n): align curated frame locale keys
1901e34d fix(player): reject unsafe launch protocols
5f2b66d9 fix(playback): validate progress cache
86c449a7 fix(scan): clean up task tracker polling
2ee92cda fix(api): add client request timeout
def4e00e chore(release): prepare 1.3.4 package",versionSource=auto-patch; BuildStamp=20260502.093720; portable=versionSource=explicit; installer=versionSource=explicit
2026-05-03,1.4.2,c9f96c30,master,release:publish,release/portable/Curated-1.4.2-windows-x64.zip; release/installer/Curated-Setup-1.4.2.exe; release/manifest/release.json,成功,wujiahui,"c9f96c30 docs: refine electron migration plan
19e5ac3b test: serialize installer version health checks
4683336b docs: add electron migration plan
b576770d feat: download latest installer from update card
b006f80d feat: show hidden player action feedback
9c2b729a docs: document gamepad web mvp
72d3d331 feat: add gamepad page and large seek jumps
e8734d8d feat: add library grid gamepad navigation
b581906f feat: add global gamepad focus navigation
4ddf725a feat: add player gamepad controls setting
c31022a3 fix: type gamepad rumble support
6a7d787a feat: add gamepad composable
984c2c5b feat: add gamepad input utilities
f7bee472 docs: plan ps5 controller integration
38f3ddd4 fix: make homepage refresh spinner visibly slower
92eb57ca fix: slow homepage refresh spinner
e1a98d00 fix: refresh homepage recommendation rail
a0c7f87b fix: keep homepage recommendation ids as arrays
4aaa9ae7 feat: preserve homepage hero on recommendation refresh
a8870e7b feat: refresh homepage recommendations only
118192c5 docs(plan): record notification center optimization
0ac13b5f fix: harden notification center behavior
b5c077f1 chore(release): prepare 1.4.1 package",versionSource=auto-patch; BuildStamp=20260502.165208; portable=versionSource=explicit; installer=versionSource=explicit
2026-05-04,1.4.3,4c2dbd49,master,release:publish,release/portable/Curated-1.4.3-windows-x64.zip; release/installer/Curated-Setup-1.4.3.exe; release/manifest/release.json,成功,wujiahui,"4c2dbd49 docs(storage): explain movie query helpers
8e355681 fix: preserve loaded poster state
817d986c docs: add connected clients design
24b4e9e0 docs: add feature inventory
78df7735 chore(release): prepare 1.4.2 package",versionSource=auto-patch; BuildStamp=20260504.085202; portable=versionSource=explicit; installer=versionSource=explicit
2026-05-12,1.4.4,4ef6e215,master,release:publish,release/portable/Curated-1.4.4-windows-x64.zip; release/installer/Curated-Setup-1.4.4.exe; release/manifest/release.json,成功,wujiahui,"4ef6e215 chore(license): declare MIT project license
559bc507 style(settings): align card titles and hints
4fce3e1a feat(detail): autosave movie comments
f86b398f fix(app-update): show full release notes on expand
2d05c2e4 docs(release): require publish-ready release bodies
5e0423f8 test: fix homepage routing i18n mock
4c8ad564 settings(about): make repository line an external link
4ce6210a settings(about): align copyright/license/repo values to the right
f009e236 settings(about): combine copyright/license/repo into one card
8a42c12a settings(about): remove borders from copyright/license/repo rows
51d7c28b settings(about): stack copyright/license/repo cards vertically
5391e139 settings(about): move copyright/license/repo above app update section
ec099c26 i18n: shorten settings nav Maintenance tab label (维护)
9d72a000 i18n: shorten settings nav Network tab label (网络)
ed751324 i18n: rename settings nav Library to Video storage (影片存储)
9f2abcfb style(settings): match overview stat tiles to watch-time metric chips
ac1e7f73 style(settings): tighten overview dashboard stat card padding
3ac1c89e style(settings): nudge default import path select downward
9b805e2c style(settings): enlarge about card Curated brand sparkles icon
543b4107 style(settings): nudge curated export format select downward
575dca40 copy(i18n): mark gamepad controls as experimental in settings title
8ca858fa copy(i18n): productize browser launch template hint; avoid i18n brace eat
47637a8d style(settings): stack seek step fields vertically in playback card
5e685c2e style(settings): right-align seek step inputs and match h-8 controls
9c945b36 style(settings): right-align native player preset select like encoder row
f43d2436 style(settings): align hardware encoder select to trailing edge in playback
eed4b71d style(settings): center native player preset select in playback card
81cc7b70 copy(i18n): merge proxy connectivity hints into one product line
bdc5a538 fix(settings): right-align proxy actions with save on trailing edge
64491851 style(settings): align network proxy field control heights to h-8
196d0463 copy(i18n): productize outbound proxy description on settings network
a01b82c5 style(settings): pill proxy action buttons on network tab
3e5f24e6 style(settings): use pill shape for library path toolbar buttons
a52d217b style(settings): compact library path storage status badge height
d605ae04 fix(settings): merge provider chain intro copy into one i18n string
faac02b0 fix(settings): move provider chain auto-save hint with drag hint
d72bd978 feat(settings): add save icon to provider chain save button
b5ca8af8 fix(settings): match provider chain save button radius to trigger scrape
e6238772 docs(rules): settings tab card and nested block semantics
0a969ce3 fix(settings): tighten metadata card header and provider health spacing
8e67c7c6 fix(settings): drop metadata card header description
77bb5691 fix(settings): align metadata card description with title column; refresh desc copy
ef5aeec6 fix(settings): unify metadata card hint typography (sm:text-sm)
9ceba014 fix(settings): remove scrape strategy CircleHelp tooltip (hint stays visible)
98c62cc6 fix(settings): show metadata scrape strategy hint below title
0a530783 fix(settings): center metadata mode radio controls in option rows
ac16b0d5 fix(settings): vertically center trigger scrape button on sm+ layout
29011e65 docs(rules): settings nested card title and hint typography
4d2066a3 fix(settings): align metadata card horizontal padding
d44fa91d style(settings): chain list header title-hint gap matches actor auto-scrape
f06f4d30 style(settings): match provider health title-hint gap to auto-scrape row
75a2f495 style(settings): use CircleHelp for metadata mode tooltip trigger
b52932c3 chore(settings): remove provider chain selected count hint
a144a5bc style(settings): align metadata chain and trigger-scrape headings
7e1208ab style(settings): semibold metadata scrape strategy legend label
94fd6ab4 style(settings): align provider health hint type with auto-scrape hint
7856eb90 style(settings): match provider health title weight to auto-scrape row
9ca55cbd feat(settings): organize switch hint in tooltip by label
9a55c229 fix(settings): separate default import select title and path in trigger
74d6dcde feat(settings): default import hint via tooltip next to label
2d5ff339 chore(settings): drop library storage status hint paragraph
7b0b1b7b style(notification): shrink unread count badge on bell trigger
64db03a4 style(settings): narrow library storage add/check action buttons
10f1f434 fix(settings): align library storage action buttons to h-8
81254c73 fix: align storage path action button sizes
1d54d278 fix: place storage check beside add path
b376c118 feat: surface library storage status alerts
21be2991 feat: add library storage status backend
9b75b165 docs: plan storage device presence checks
cad1249b fix: route manual scan feedback through notifications
0642a4f0 fix: refresh library after watched scrapes
f13f497a feat: expand notification coverage
9f79f31c chore(release): prepare 1.4.3 package",versionSource=auto-patch; BuildStamp=20260511.170115; portable=versionSource=explicit; installer=versionSource=explicit
2026-05-13,1.4.5,76b75ec3,master,release:publish,release/portable/Curated-1.4.5-windows-x64.zip; release/installer/Curated-Setup-1.4.5.exe; release/manifest/release.json,成功,wujiahui,"76b75ec3 feat(app-update): add auto-download setting
fd1d5b46 feat(app-update): add verified installer flow
d63c281b chore(release): prepare 1.4.4 package",versionSource=auto-patch; BuildStamp=20260512.174356; portable=versionSource=explicit; installer=versionSource=explicit
2026-05-14,1.4.6,a30f261a,master,release:publish,release/portable/Curated-1.4.6-windows-x64.zip; release/installer/Curated-Setup-1.4.6.exe; release/manifest/release.json,成功,wujiahui,"a30f261a docs(electron): document desktop shell lifecycle
711157c5 feat(electron): add desktop shell MVP
54d179eb fix(homepage): preserve daily recommendation snapshot size
5c31c8e2 fix(library): handle large scan and list counts
e2666ad2 chore(release): prepare 1.4.5 package",versionSource=auto-patch; BuildStamp=20260513.180832; portable=versionSource=explicit; installer=versionSource=explicit
2026-05-14,1.4.7,ba55b4a2,master,release:publish,release/portable/Curated-1.4.7-windows-x64.zip; release/installer/Curated-Setup-1.4.7.exe; release/manifest/release.json,成功,wujiahui,"ba55b4a2 feat(electron): package desktop shell in release
d095b028 fix(scan): handle path collisions during library watch
bf6e848b chore(release): prepare 1.4.6 package",versionSource=auto-patch; BuildStamp=20260513.192311; portable=versionSource=explicit; installer=versionSource=explicit
2026-05-17,1.4.8,61ba17a7,master,release:publish,release/manifest/release.json,失败,wujiahui,"61ba17a7 feat(frontend): refine curated frames and authenticated playback
330482ab docs: document PIN lock and desktop clients
cd550430 feat(electron): identify desktop client OS
b2929bb1 feat(auth): add PIN app lock
32d3d833 feat(ui): adapt desktop display density
a3f7d282 docs(plan): record access control ideas
38cd9916 feat(settings): show connected clients
e759ac21 fix(electron): remove desktop menu bar
aedd5abc chore(release): prepare 1.4.7 package",versionSource=auto-patch; BuildStamp=20260516.174252; error=pnpm build:electron:main failed with exit code 2
2026-05-17,1.4.8,89726526,master,release:publish,release/portable/Curated-1.4.8-windows-x64.zip; release/installer/Curated-Setup-1.4.8.exe; release/manifest/release.json,成功,wujiahui,89726526 fix(electron): type desktop marker headers,versionSource=explicit; BuildStamp=20260516.174515; portable=versionSource=explicit; installer=versionSource=explicit
2026-06-07,1.4.9,c1043060,master,release:publish,release/manifest/release.json,失败,wujiahui,c1043060 chore(release): prepare 1.4.8 package,versionSource=auto-patch; BuildStamp=20260606.165121; error=go build -tags release -ldflags -H=windowsgui -X curated-backend/internal/version.BuildStamp=20260606.165121 -X curated-backend/internal/version.InstallerVersion=1.4.9 -o C:\Users\wujiahui\code\jav-lib\jav-shadcn\release\backend\curated.exe ./cmd/curated failed with exit code 1
2026-06-07,1.4.9,c1043060,master,release:publish,release/manifest/release.json,失败,wujiahui,无代码差异（同一提交重复打包）,versionSource=explicit; BuildStamp=20260606.165220; error=go build -tags release -ldflags -H=windowsgui -X curated-backend/internal/version.BuildStamp=20260606.165220 -X curated-backend/internal/version.InstallerVersion=1.4.9 -o C:\Users\wujiahui\code\jav-lib\jav-shadcn\release\backend\curated.exe ./cmd/curated failed with exit code 1
2026-06-07,1.4.9,c1043060,master,release:publish,release/manifest/release.json,失败,wujiahui,无代码差异（同一提交重复打包）,versionSource=explicit; BuildStamp=20260606.165252; error=go build -tags release -ldflags -H=windowsgui -X curated-backend/internal/version.BuildStamp=20260606.165252 -X curated-backend/internal/version.InstallerVersion=1.4.9 -o C:\Users\wujiahui\code\jav-lib\jav-shadcn\release\backend\curated.exe ./cmd/curated failed with exit code 1
2026-06-07,1.4.9,c1043060,master,release:publish,release/portable/Curated-1.4.9-windows-x64.zip; release/installer/Curated-Setup-1.4.9.exe; release/manifest/release.json,成功,wujiahui,无代码差异（同一提交重复打包）,versionSource=explicit; BuildStamp=20260606.165611; portable=versionSource=explicit; installer=versionSource=explicit
2026-06-07,1.4.9,ff9823be,master,release:publish,release/portable/Curated-1.4.9-windows-x64.zip; release/installer/Curated-Setup-1.4.9.exe; release/manifest/release.json,成功,wujiahui,"ff9823be fix(release): allow explicit go build temp dirs
2b1d9533 fix(frontend): remove curated frame duplicate summary",versionSource=explicit; BuildStamp=20260606.170226; portable=versionSource=explicit; installer=versionSource=explicit
2026-06-19,1.4.10,d7b4492e,master,release:publish,release/manifest/release.json,失败,wujiahui,"d7b4492e feat(frontend): auto load actor and frame lists
ef4a8d7b docs(api): expand backend api and android foundation
592be22b chore(release): prepare 1.4.9 package",versionSource=auto-patch; BuildStamp=20260619.053619; error=go build -tags release -ldflags -H=windowsgui -X curated-backend/internal/version.BuildStamp=20260619.053619 -X curated-backend/internal/version.InstallerVersion=1.4.10 -o C:\Users\wujiahui\code\jav-lib\jav-shadcn\release\backend\curated.exe ./cmd/curated failed with exit code 1
2026-06-19,1.4.10,d7b4492e,master,release:publish,release/portable/Curated-1.4.10-windows-x64.zip; release/installer/Curated-Setup-1.4.10.exe; release/manifest/release.json,成功,wujiahui,无代码差异（同一提交重复打包）,versionSource=explicit; BuildStamp=20260619.053836; portable=versionSource=explicit; installer=versionSource=explicit
2026-07-05,1.4.11,96548b72,master,release:publish,release/manifest/release.json,失败,wujiahui,"96548b72 fix(frontend): preserve detail return from actor page
5deb611a feat(frontend): add dedicated actor detail page
99af4698 docs: plan dedicated actor detail page
2a0fe57e style(frontend): tighten actor card grid
865caccb feat(frontend): hide actor tags in actor UI
10248ad3 docs(plan): outline actor page tag visibility
58d9229a fix(frontend): stop player media on teardown
3853f962 docs: document offline resources and SSE events
efe3c505 feat: stream task updates over SSE
96cb7ac2 feat(frontend): bundle offline desktop resources
3c9866af docs(plan): add comic library MVP implementation plan
45ad4216 docs(plan): add comic library MVP design
955a9a8a fix(frontend): preserve detail return from filters
519d5dfe docs(plan): add Curated Android UI color style guide
6609ad44 feat(frontend): export active movie library to CSV
293e9fe7 chore(release): prepare 1.4.10 package",versionSource=auto-patch; BuildStamp=20260704.201339; error=Electron runtime not found: C:\Users\wujiahui\code\jav-lib\jav-shadcn\node_modules\.pnpm\electron@42.0.1\node_modules\electron\dist\electron.exe
2026-07-05,1.4.11,96548b72,master,release:publish,release/portable/Curated-1.4.11-windows-x64.zip; release/installer/Curated-Setup-1.4.11.exe; release/manifest/release.json,成功,wujiahui,无代码差异（同一提交重复打包）,versionSource=explicit; BuildStamp=20260704.201819; portable=versionSource=explicit; installer=versionSource=explicit
